4M,5M,1+4M,1+5M,2+4M,2+5M,3+4M,3+5M,4+5M,P8,A9,1+P8,1+A9,2+P8,2+A9,4-10M,5-12M,NC (8+)
,,,R: U/M',,r' U: L'/E',,,,"U', L E' L'","L': U', L' E L","D: L F L', S'","R2 u': R U R', E'",,,,,
,,,D': L'/E',,r' U': L'/S',,,,"L E' L', U'",M'/U L U',"D': S', L F L'","R2 U': R U R', E",,,,,
,,,U2: R'/S,,r' U': L/S',,,,"U, R' E R",M/U L U',"D': L F L', S'","R2 U': R' U R, E",,,,,
,,,U2: R/S,,l U: R/S,,,,"R' E R, U",M'/U' R' U,"M: U, R E' R'","R2 u': R' U R, E'",,,,,
,,,U2: L/S',,l U: R'/S,,,,"U', L' E L",M/U' R' U,"M: R E' R', U","L2 U: L U' L', E'",,,,,
,,,U2: L'/S',,r' U': R/E',,,,"L' E L, U'","R': R' E R, U","M': U', R' E R","L2 u: L U' L', E",,,,,
,,,U2: L/E',,r' U': R'/E',,,,"U, R E' R'","R': U, R' E R","M': R' E R, U'","F' R: R E' R', U'",,,,,
,,,U2: L'/E',,l U: L/E,,,,"R E' R', U","L2: E', L' U' L","l': R' F' R, S","F' R: U', R E' R'",,,,,
,,,U2: R'/E,,U' E': R/S,,,,"U', L E2 L'","L: U', L E' L'","l': S, R' F' R","E L: S, L F2 L'",,,,,
,,,U2: R/E,,U' E': R'/S,,,,"L E2 L', U'","M': U L' U', M2","r: L F L', S'","E L: L F2 L', S",,,,,
,,,E2: R/E',,M U': R/E',,,,"U, R' E2 R",M/U L' U',"r: S', L F L'",,,,,,
,,,E2: R'/E',,M U': R'/E',,,,"R' E2 R, U",M'/U' R U,"l': U2, R' E R",,,,,,
,,,E2: L'/E,,M U: L'/E,,,,"L' B L, S",M/U' R U,"l': R' E R, U2",,,,,,
,,,E2: L/E,,M U: L/E,,,,"S, L' B L","U2: M', U L' U'","r: U2, L E' L'",,,,,,
,,,l: U'/M,,U' E': L'/E,,,,"R B' R', S'","U': L', U' M' U","r: L E' L', U2",,,,,,
,,,l: U/M,,U' E': L/E,,,,"S', R B' R'","U2: M', U' R U","D: R, U M' U'",,,,,,
,,,S': U'/M',,U E: R/E',,,,"L', U' S' U","U: R, U M' U'","D: U M' U', R",,,,,,
,,,S': U/M',,U E: R'/E',,,,"U' S' U, L'","U': L, U' M' U","l': U', R' E R",,,,,,
,,,S: U/M',,U E: R'/E,,,,"R, U S U'","U2: M', U L U'","l': R' E R, U'",,,,,,
,,,S: U'/M',,U E: R/E,,,,"U S U', R","U: R', U M' U'","r: U, L E' L'",,,,,,
,,,S': R'/S,,U' E': L/E',,,,"E, L' U' L","U2: M', U' R' U","r: L E' L', U",,,,,,
,,,S': R/S,,U' E': L'/E',,,,"L' U' L, E","M2: U' R U, M'","l: U2, R E' R'",,,,,,
,,,S: L/S',,M U': R'/E,,,,"E', R U R'","M: U' R U, M","l: R E' R', U2",,,,,,
,,,S: L'/S',,M U': R/E,,,,"R U R', E'","M2: U' R' U, M'","r': U2, L' E L",,,,,,
,,,E': R'/E,,M U: L/E',,,,"E', R' U R","M: U' R' U, M","r': L' E L, U2",,,,,,
,,,E': R/E,,M U: L'/E',,,,"R' U R, E'","U2: R', U M U'","D: R', U M' U'",,,,,,
,,,E: L/E',,S' U: R/E,,,,"E, L U' L'","M': U', R E' R'","D: U M' U', R'",,,,,,
,,,E: L'/E',,S' U: R'/E,,,,"L U' L', E","r: E', R' U' R","D': L, U' M' U",,,,,,
,,,E: R/E',,l U': R/E',,,,"L, U' S' U","M': U, L' E L","D': U' M' U, L",,,,,,
